Hours Since Dec 1 2017,Rented Bike Count,Temperature(degC),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(degC),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
4439,1274,22,44,0.8,1978,9.1,0,0,0,Summer,No Holiday,Yes
4440,938,21.4,45,1.4,1964,8.9,0,0,0,Summer,No Holiday,Yes
4441,596,20.7,47,0.9,1987,8.9,0,0,0,Summer,No Holiday,Yes
4442,351,20.1,49,0.8,1978,9,0,0,0,Summer,No Holiday,Yes
4443,244,19.6,51,1,1923,9.1,0,0,0,Summer,No Holiday,Yes
4444,172,19.4,56,1.2,1752,10.3,0,0,0,Summer,No Holiday,Yes
4445,299,19.2,56,0.9,1772,10.2,0,0,0,Summer,No Holiday,Yes
4446,742,18.9,53,0.3,1871,9.1,0.04,0,0,Summer,No Holiday,Yes
4447,1505,19.5,52,0.8,1818,9.3,0.46,0,0,Summer,No Holiday,Yes
4448,2287,22.1,44,1.4,1435,9.2,1.16,0,0,Summer,No Holiday,Yes
4449,1243,23.3,37,0.4,1336,7.7,1.28,0,0,Summer,No Holiday,Yes
4450,970,25.1,40,2.7,1076,10.5,2.37,0,0,Summer,No Holiday,Yes
4451,1008,26.1,37,2.4,1079,10.2,2.79,0,0,Summer,No Holiday,Yes
4452,1152,26.3,36,3.1,1377,10,2.61,0,0,Summer,No Holiday,Yes
4453,1085,27.4,30,2,1768,8.2,3.03,0,0,Summer,No Holiday,Yes
4454,1148,26.5,43,3.9,1671,12.8,2.36,0,0,Summer,No Holiday,Yes
4455,1249,25.5,43,2.9,1996,11.9,1.71,0,0,Summer,No Holiday,Yes
4456,1671,25.5,43,3.2,1892,11.9,1.72,0,0,Summer,No Holiday,Yes
4457,2190,24.9,46,2,1855,12.4,0.91,0,0,Summer,No Holiday,Yes
4458,3380,24.4,48,1.9,1998,12.6,0.56,0,0,Summer,No Holiday,Yes
4459,2788,23.9,51,2.3,2000,13.1,0.12,0,0,Summer,No Holiday,Yes
4460,2508,23.4,43,1.1,2000,10,0.01,0,0,Summer,No Holiday,Yes
4461,2377,22.6,62,1.1,1363,14.9,0,0,0,Summer,No Holiday,Yes
4462,2000,22,64,1.8,1211,14.8,0,0,0,Summer,No Holiday,Yes
4463,1354,21.4,68,2.7,972,15.2,0,0,0,Summer,No Holiday,Yes
4464,927,20.5,71,2.8,1204,15,0,0,0,Summer,No Holiday,Yes
4465,742,20,67,0.7,1426,13.6,0,0,0,Summer,No Holiday,Yes
4466,448,19.7,66,0.5,1591,13.1,0,0,0,Summer,No Holiday,Yes
4467,314,19.1,72,0.6,1370,13.9,0,0,0,Summer,No Holiday,Yes
4468,214,18.5,72,0.6,1168,13.3,0,0,0,Summer,No Holiday,Yes
4469,282,18.1,73,0.5,1182,13.1,0,0,0,Summer,No Holiday,Yes
4470,733,17.8,73,0.4,1188,12.8,0.04,0,0,Summer,No Holiday,Yes
4471,1602,18.8,64,0.7,1099,11.8,0.48,0,0,Summer,No Holiday,Yes
4472,2322,21.5,58,1.1,1021,12.8,1.21,0,0,Summer,No Holiday,Yes
4473,1344,23.5,51,1.4,1169,12.7,1.82,0,0,Summer,No Holiday,Yes
4474,959,25.5,43,1,1568,11.9,2.49,0,0,Summer,No Holiday,Yes
4475,974,26.8,37,1.6,1639,10.8,2.91,0,0,Summer,No Holiday,Yes
4476,1111,28.2,35,1.2,1411,11.2,3.23,0,0,Summer,No Holiday,Yes
4477,1058,28.6,34,2,1274,11.1,2.82,0,0,Summer,No Holiday,Yes
4478,1120,28.9,34,2.7,1328,11.4,2.06,0,0,Summer,No Holiday,Yes
4479,1250,29,38,3.4,749,13.2,2.12,0,0,Summer,No Holiday,Yes
4480,1434,28.8,38,3.1,1027,13,2.14,0,0,Summer,No Holiday,Yes
4481,2115,28.1,37,3.6,1346,12,1.56,0,0,Summer,No Holiday,Yes
4482,3227,27.1,40,2.8,1811,12.3,1,0,0,Summer,No Holiday,Yes
4483,2615,25.5,43,3.1,1760,11.9,0.41,0,0,Summer,No Holiday,Yes
4484,2346,24,46,2.8,1896,11.6,0.06,0,0,Summer,No Holiday,Yes
4485,2404,23.3,51,1.7,1654,12.5,0,0,0,Summer,No Holiday,Yes
4486,2237,22.4,54,2.5,1778,12.6,0,0,0,Summer,No Holiday,Yes
4487,1646,21.9,56,0.7,1898,12.7,0,0,0,Summer,No Holiday,Yes
4488,1268,21.2,60,0.9,1789,13.1,0,0,0,Summer,Holiday,Yes
4489,1031,20.6,63,0.6,1670,13.3,0,0,0,Summer,Holiday,Yes
4490,792,20.1,65,1,1435,13.3,0,0,0,Summer,Holiday,Yes
4491,562,19.6,68,1.7,1260,13.5,0,0,0,Summer,Holiday,Yes
4492,332,19.2,68,0.8,1181,13.1,0,0,0,Summer,Holiday,Yes
4493,218,18.7,73,1.4,1065,13.7,0,0,0,Summer,Holiday,Yes
4494,351,18.5,73,1.1,1028,13.5,0.06,0,0,Summer,Holiday,Yes
4495,536,19.3,63,0.7,916,12,0.46,0,0,Summer,Holiday,Yes
4496,799,21.2,59,1.2,794,12.8,1.13,0,0,Summer,Holiday,Yes
4497,925,22.9,56,2.3,763,13.6,1.74,0,0,Summer,Holiday,Yes
4498,1087,24.3,53,2.9,949,14.1,2.37,0,0,Summer,Holiday,Yes
4499,1152,25.8,52,2.1,905,15.1,2.84,0,0,Summer,Holiday,Yes
4500,1400,27.3,51,2.8,703,16.2,3.16,0,0,Summer,Holiday,Yes
4501,1444,27.3,52,3.1,613,16.5,3.21,0,0,Summer,Holiday,Yes
4502,1603,27.4,50,3.5,615,16,3.01,0,0,Summer,Holiday,Yes
4503,1674,27.6,49,3.7,656,15.9,2.79,0,0,Summer,Holiday,Yes
4504,1940,27.9,47,2.8,824,15.5,2.36,0,0,Summer,Holiday,Yes
4505,2104,27.4,48,2.7,1084,15.4,1.8,0,0,Summer,Holiday,Yes
4506,2162,26.6,52,2.5,1368,15.9,1.09,0,0,Summer,Holiday,Yes
4507,2163,24.9,56,3.1,1469,15.5,0.51,0,0,Summer,Holiday,Yes
4508,2145,23.4,64,1.8,1144,16.1,0.07,0,0,Summer,Holiday,Yes
4509,1935,22.1,72,2.5,923,16.8,0,0,0,Summer,Holiday,Yes
4510,1624,20.8,78,1.8,763,16.8,0,0,0,Summer,Holiday,Yes
4511,1251,20.1,77,3.1,797,15.9,0,0,0,Summer,Holiday,Yes
4512,978,19.6,82,1.7,628,16.4,0,0,0,Summer,No Holiday,Yes
4513,606,19.1,86,1.8,522,16.6,0,0,0,Summer,No Holiday,Yes
4514,418,18.8,88,0.3,500,16.7,0,0,0,Summer,No Holiday,Yes
4515,275,18.4,88,1.6,465,16.3,0,0,0,Summer,No Holiday,Yes
4516,191,18.1,88,1.8,458,16,0,0,0,Summer,No Holiday,Yes
4517,288,17.8,91,2.2,393,16.3,0,0,0,Summer,No Holiday,Yes
4518,716,18.1,88,1.1,272,16,0.03,0,0,Summer,No Holiday,Yes
4519,1551,18.6,85,2,307,16,0.16,0,0,Summer,No Holiday,Yes
4520,2317,18.9,82,2.3,326,15.7,0.44,0,0,Summer,No Holiday,Yes
4521,1342,20.5,73,1.6,364,15.4,1.23,0,0,Summer,No Holiday,Yes
4522,914,22,69,2,488,16,2.04,0,0,Summer,No Holiday,Yes
4523,967,23.4,62,1.8,603,15.6,2.87,0,0,Summer,No Holiday,Yes
4524,1099,25,56,3,715,15.6,3.19,0,0,Summer,No Holiday,Yes
4525,1071,26.7,47,2.4,806,14.4,3.26,0,0,Summer,No Holiday,Yes
4526,1116,28.2,44,1.7,644,14.7,3.11,0,0,Summer,No Holiday,Yes
4527,1171,29.3,41,2,609,14.6,2.63,0,0,Summer,No Holiday,Yes
4528,1442,29.3,41,2,905,14.6,1.95,0,0,Summer,No Holiday,Yes
4529,2002,28.2,51,3.3,879,17,1.73,0,0,Summer,No Holiday,Yes
4530,3221,25.6,57,2.7,1217,16.4,0.96,0,0,Summer,No Holiday,Yes
4531,2649,24,60,2.8,1379,15.7,0.38,0,0,Summer,No Holiday,Yes
4532,2278,22.8,67,1.6,1219,16.3,0.06,0,0,Summer,No Holiday,Yes
4533,2161,21.5,69,2.6,942,15.5,0,0,0,Summer,No Holiday,Yes
4534,1939,20.9,71,1,763,15.4,0,0,0,Summer,No Holiday,Yes
4535,1290,20.3,77,1.3,770,16.1,0,0,0,Summer,No Holiday,Yes
4536,926,19.1,82,2.2,874,15.9,0,0,0,Summer,No Holiday,Yes
4537,769,18.8,84,1.7,658,16,0,0,0,Summer,No Holiday,Yes
4538,525,18.6,84,2.5,619,15.8,0,0,0,Summer,No Holiday,Yes
4539,365,18.6,83,2.9,889,15.6,0,0,0,Summer,No Holiday,Yes
4540,255,18.5,82,2,1072,15.3,0,0,0,Summer,No Holiday,Yes
4541,299,18.6,81,0.8,1205,15.2,0,0,0,Summer,No Holiday,Yes
4542,744,18.8,78,2,1259,14.8,0.01,0,0,Summer,No Holiday,Yes
4543,1544,19.1,73,2,1300,14.1,0.3,0,0,Summer,No Holiday,Yes
4544,2348,19.7,69,2,1448,13.8,0.54,0,0,Summer,No Holiday,Yes
4545,1283,21.2,62,1.7,1384,13.6,1.45,0,0,Summer,No Holiday,Yes
4546,1002,21.9,62,1.7,1664,14.2,1.36,0,0,Summer,No Holiday,Yes
4547,1095,21.9,64,2.4,1359,14.7,1.03,0,0,Summer,No Holiday,Yes
4548,1256,23.1,56,1.6,1222,13.8,1.71,0,0,Summer,No Holiday,Yes
4549,1314,24.2,58,1.9,1015,15.4,1.87,0,0,Summer,No Holiday,Yes
4550,1249,25,54,2.2,1146,15,1.86,0,0,Summer,No Holiday,Yes
4551,1416,26.2,51,3.3,1104,15.2,2.87,0,0,Summer,No Holiday,Yes
4552,1668,26.6,49,3.2,1200,15,2.35,0,0,Summer,No Holiday,Yes
4553,2314,26.9,49,2.3,1210,15.2,1.72,0,0,Summer,No Holiday,Yes
4554,3309,26.2,54,2.2,1183,16.1,0.88,0,0,Summer,No Holiday,Yes
4555,2797,24.5,63,3.1,970,16.9,0.46,0,0,Summer,No Holiday,Yes
4556,2476,22.6,71,1.8,856,17,0.11,0,0,Summer,No Holiday,Yes
4557,2337,21.2,77,1.7,638,16.9,0,0,0,Summer,No Holiday,Yes
4558,2140,20.5,78,0.9,550,16.5,0,0,0,Summer,No Holiday,Yes
4559,1672,20,79,1.4,510,16.2,0,0,0,Summer,No Holiday,Yes
4560,1247,19.7,83,1.5,390,16.7,0,0,0,Summer,No Holiday,Yes
4561,1029,19.7,81,0.6,419,16.3,0,0,0,Summer,No Holiday,Yes
4562,732,19.4,84,0.7,382,16.6,0,0,0,Summer,No Holiday,Yes
4563,535,19.1,84,0.6,421,16.3,0,0,0,Summer,No Holiday,Yes
4564,352,19,83,0.4,473,16,0,0,0,Summer,No Holiday,Yes
4565,262,19,85,0.4,467,16.4,0,0,0,Summer,No Holiday,Yes
4566,381,19,84,0.5,440,16.2,0.05,0,0,Summer,No Holiday,Yes
4567,616,20.2,73,1.1,708,15.1,0.41,0,0,Summer,No Holiday,Yes
4568,963,21.9,62,0.9,1071,14.2,1.03,0,0,Summer,No Holiday,Yes
4569,1102,24,55,1.8,1411,14.3,1.81,0,0,Summer,No Holiday,Yes
4570,1156,25.8,49,1.3,1442,14.2,2.42,0,0,Summer,No Holiday,Yes
4571,1200,27.2,46,1.7,1301,14.5,2.88,0,0,Summer,No Holiday,Yes
4572,1462,28.2,42,1.4,1563,14,2.84,0,0,Summer,No Holiday,Yes
4573,1583,28.8,42,2,1438,14.6,2.38,0,0,Summer,No Holiday,Yes
4574,1744,30.1,35,1.4,1583,12.9,2.53,0,0,Summer,No Holiday,Yes
4575,1890,29.6,40,2.5,1546,14.5,1.96,0,0,Summer,No Holiday,Yes
4576,2297,28.7,40,2.5,1474,13.7,1,0,0,Summer,No Holiday,Yes
4577,2355,28.2,39,2.9,1653,12.9,0.7,0,0,Summer,No Holiday,Yes
4578,1934,27.3,42,1.2,2000,13.2,0.19,0,0,Summer,No Holiday,Yes
4579,1058,25.7,47,1.8,2000,13.5,0.04,0,0,Summer,No Holiday,Yes
4580,246,23.7,62,1.6,1402,15.9,0,0.4,0,Summer,No Holiday,Yes
4581,225,22.4,72,1.5,1816,17,0,0.1,0,Summer,No Holiday,Yes
4582,776,21,75,1.3,2000,16.3,0,0,0,Summer,No Holiday,Yes
4583,766,20.7,66,1.6,2000,14.1,0,0,0,Summer,No Holiday,Yes
4584,483,20.2,66,1.5,2000,13.6,0,0,0,Summer,No Holiday,Yes
4585,375,19.7,71,1.2,1986,14.2,0,0.5,0,Summer,No Holiday,Yes
4586,162,19.2,69,1.3,2000,13.3,0,0,0,Summer,No Holiday,Yes
4587,150,18.6,78,0.8,1997,14.6,0,0,0,Summer,No Holiday,Yes
4588,174,18.3,72,1.7,2000,13.1,0,0,0,Summer,No Holiday,Yes
4589,138,18.4,70,1.4,2000,12.8,0,0,0,Summer,No Holiday,Yes
4590,216,18.3,71,0.9,2000,12.9,0,0,0,Summer,No Holiday,Yes
4591,313,18.4,68,0.6,2000,12.3,0.04,0,0,Summer,No Holiday,Yes
4592,619,19,65,2,2000,12.2,0.28,0,0,Summer,No Holiday,Yes
4593,786,19.2,65,1.4,2000,12.4,0.34,0,0,Summer,No Holiday,Yes
4594,942,20.2,62,1.8,2000,12.6,0.82,0,0,Summer,No Holiday,Yes
4595,1074,21.3,56,1.5,1989,12.1,1.18,0,0,Summer,No Holiday,Yes
4596,1442,23.2,50,2.2,1988,12.1,2.45,0,0,Summer,No Holiday,Yes
4597,1752,24.2,48,1.2,1968,12.4,2.19,0,0,Summer,No Holiday,Yes
4598,1985,24.1,51,1.1,2000,13.3,1.58,0,0,Summer,No Holiday,Yes
4599,2182,24.8,49,1.2,2000,13.3,1.34,0,0,Summer,No Holiday,Yes
4600,2333,24.8,51,1.6,2000,13.9,1.17,0,0,Summer,No Holiday,Yes
4601,2431,24.6,52,1.3,2000,14,0.82,0,0,Summer,No Holiday,Yes
4602,2367,24.1,53,1.3,2000,13.9,0.48,0,0,Summer,No Holiday,Yes
4603,2267,23.4,55,1,2000,13.8,0.12,0,0,Summer,No Holiday,Yes
4604,2300,22.8,55,1.3,2000,13.2,0.01,0,0,Summer,No Holiday,Yes
4605,2026,22.1,55,1.5,2000,12.6,0,0,0,Summer,No Holiday,Yes
4606,1634,21.5,55,1.8,2000,12,0,0,0,Summer,No Holiday,Yes
4607,1191,20.9,56,1.5,2000,11.7,0,0,0,Summer,No Holiday,Yes
4608,918,20.3,58,1.4,2000,11.7,0,0,0,Summer,No Holiday,Yes
4609,555,19.8,59,1.3,2000,11.5,0,0,0,Summer,No Holiday,Yes
4610,353,19.2,60,1.5,2000,11.2,0,0,0,Summer,No Holiday,Yes
4611,232,18.8,61,1.3,2000,11.1,0,0,0,Summer,No Holiday,Yes
4612,194,18.8,60,1,2000,10.8,0,0,0,Summer,No Holiday,Yes
4613,324,18.8,61,1.2,2000,11.1,0,0,0,Summer,No Holiday,Yes
4614,807,18.6,61,0.8,2000,10.9,0.03,0,0,Summer,No Holiday,Yes
4615,1629,19.1,59,1.1,2000,10.8,0.38,0,0,Summer,No Holiday,Yes
4616,2375,20.7,55,1.5,2000,11.3,1.23,0,0,Summer,No Holiday,Yes
4617,1307,22.2,48,1.7,1889,10.6,1.77,0,0,Summer,No Holiday,Yes
4618,992,23.7,47,1.3,2000,11.7,2.67,0,0,Summer,No Holiday,Yes
4619,1107,23.2,52,1.4,2000,12.7,1.53,0,0,Summer,No Holiday,Yes
4620,1204,23.2,52,1.2,2000,12.7,0.82,0,0,Summer,No Holiday,Yes
4621,1033,23.7,49,1.2,2000,12.3,1.04,0,0,Summer,No Holiday,Yes
4622,1075,23.9,47,1,2000,11.8,0.97,0,0,Summer,No Holiday,Yes
4623,1240,22.2,60,1.3,1907,14,0.34,0,0,Summer,No Holiday,Yes
4624,1220,22,60,1.8,2000,13.8,0.14,0,0,Summer,No Holiday,Yes
4625,1475,20.7,72,3.4,2000,15.4,0.11,0,0,Summer,No Holiday,Yes
4626,1491,19.8,80,3.9,2000,16.2,0.12,0,0,Summer,No Holiday,Yes
4627,873,19.4,85,1.2,1651,16.8,0.08,0.5,0,Summer,No Holiday,Yes
4628,1280,19.1,84,1.7,2000,16.3,0.04,0,0,Summer,No Holiday,Yes
4629,1647,19,82,1,2000,15.8,0,0,0,Summer,No Holiday,Yes
4630,1117,19,76,0.1,2000,14.6,0,0,0,Summer,No Holiday,Yes
4631,384,18.2,93,0.8,460,17,0,3.5,0,Summer,No Holiday,Yes
4632,470,18,94,0.7,1906,17,0,1,0,Summer,No Holiday,Yes
4633,454,17.7,92,0.9,1958,16.3,0,0,0,Summer,No Holiday,Yes
4634,385,17.7,87,1.2,2000,15.5,0,0,0,Summer,No Holiday,Yes
4635,206,17.5,87,0.5,1995,15.3,0,0,0,Summer,No Holiday,Yes
4636,144,17.5,84,0.8,2000,14.7,0,0,0,Summer,No Holiday,Yes
4637,296,17.2,87,0.6,2000,15,0,0,0,Summer,No Holiday,Yes
4638,740,16.7,85,1,2000,14.1,0.03,0,0,Summer,No Holiday,Yes
4639,1573,17.1,77,1.5,1748,13,0.49,0,0,Summer,No Holiday,Yes
4640,2495,19,67,1.1,1976,12.7,1.29,0,0,Summer,No Holiday,Yes
4641,1317,21.1,60,0.9,1998,13,2.18,0,0,Summer,No Holiday,Yes
4642,971,22.1,53,1.1,1999,12,2.28,0,0,Summer,No Holiday,Yes
4643,1092,22.9,54,2.6,1959,13,2.56,0,0,Summer,No Holiday,Yes
4644,1202,24,51,1.8,2000,13.2,2.29,0,0,Summer,No Holiday,Yes
4645,1215,25.7,46,0.8,2000,13.2,3.18,0,0,Summer,No Holiday,Yes
4646,1246,25.6,45,2.2,1961,12.7,1.39,0,0,Summer,No Holiday,Yes
4647,1427,26.2,42,2.7,1977,12.2,1.59,0,0,Summer,No Holiday,Yes
4648,1714,26.2,47,3.8,1996,13.9,2.45,0,0,Summer,No Holiday,Yes
4649,2270,26.4,47,3,1976,14.1,1.76,0,0,Summer,No Holiday,Yes
4650,3404,24.9,53,3.6,2000,14.6,1.28,0,0,Summer,No Holiday,Yes
4651,2873,23.1,58,2.4,1997,14.3,0.59,0,0,Summer,No Holiday,Yes
4652,2579,21.6,62,3.3,2000,13.9,0.09,0,0,Summer,No Holiday,Yes
4653,2505,20.6,70,1.8,1986,14.9,0,0,0,Summer,No Holiday,Yes
4654,2309,20,70,1,2000,14.3,0,0,0,Summer,No Holiday,Yes
4655,1657,19.5,72,0.6,1989,14.3,0,0,0,Summer,No Holiday,Yes
4656,1274,19.3,76,1.2,1968,14.9,0,0,0,Summer,No Holiday,Yes
4657,1088,18.9,77,0.7,1987,14.7,0,0,0,Summer,No Holiday,Yes
4658,847,18.4,75,0.6,1986,13.8,0,0,0,Summer,No Holiday,Yes
4659,591,18.5,73,1,1951,13.5,0,0,0,Summer,No Holiday,Yes
4660,421,18.7,74,0.9,1933,13.9,0,0,0,Summer,No Holiday,Yes
4661,290,18.6,76,0.4,1957,14.2,0,0,0,Summer,No Holiday,Yes
4662,416,18.7,75,0.9,1923,14.1,0.06,0,0,Summer,No Holiday,Yes
4663,657,19.4,69,0.3,1277,13.5,0.42,0,0,Summer,No Holiday,Yes
4664,959,20.7,65,1.5,1004,13.8,0.97,0,0,Summer,No Holiday,Yes
4665,1111,22.6,59,1.6,1030,14.1,1.8,0,0,Summer,No Holiday,Yes
4666,1269,23,57,2.2,1145,14,1.1,0,0,Summer,No Holiday,Yes
4667,1478,24.5,51,1.5,1333,13.6,1.97,0,0,Summer,No Holiday,Yes
4668,1747,24.5,56,2.3,1094,15.1,1.74,0,0,Summer,No Holiday,Yes
4669,1834,24.9,52,1.8,1554,14.3,1.7,0,0,Summer,No Holiday,Yes
4670,2088,26.6,50,2.4,1119,15.3,2.95,0,0,Summer,No Holiday,Yes
4671,2288,25.5,50,2.2,1025,14.3,0.47,0,0,Summer,No Holiday,Yes
4672,2474,25.8,50,1.7,1152,14.5,0.66,0,0,Summer,No Holiday,Yes
4673,2664,25.6,57,3.3,919,16.4,0.87,0,0,Summer,No Holiday,Yes
4674,2479,23.4,63,3.6,1245,15.9,0.5,0,0,Summer,No Holiday,Yes
4675,2404,22.8,64,2.3,1444,15.6,0.45,0,0,Summer,No Holiday,Yes
4676,2276,22.1,65,1.3,1611,15.2,0.09,0,0,Summer,No Holiday,Yes
4677,2166,21.8,67,0,1485,15.3,0,0,0,Summer,No Holiday,Yes
4678,1934,21.6,66,1.2,1438,14.9,0,0,0,Summer,No Holiday,Yes
4679,1394,21.5,62,0.1,1827,13.9,0,0,0,Summer,No Holiday,Yes
4680,1047,21.1,69,0.5,1086,15.1,0,0,0,Summer,No Holiday,Yes
4681,715,20.8,72,1,912,15.5,0,0,0,Summer,No Holiday,Yes
4682,453,20.8,73,0.8,829,15.7,0,0,0,Summer,No Holiday,Yes
4683,289,20.8,73,0.7,756,15.7,0,0,0,Summer,No Holiday,Yes
4684,193,21,72,0.8,677,15.7,0,0,0,Summer,No Holiday,Yes
4685,154,20.3,84,3.2,518,17.5,0,0,0,Summer,No Holiday,Yes
4686,100,19.5,95,1.4,179,18.6,0,1.5,0,Summer,No Holiday,Yes
4687,94,19.4,97,0.9,272,18.9,0,13.5,0,Summer,No Holiday,Yes
4688,187,18.9,97,1.2,492,18.4,0.06,11.5,0,Summer,No Holiday,Yes
4689,175,19.1,96,0.6,273,18.4,0.17,1.5,0,Summer,No Holiday,Yes
4690,532,19.7,94,1.1,497,18.7,0.61,1,0,Summer,No Holiday,Yes
4691,735,20.5,79,1.7,770,16.7,1.25,0,0,Summer,No Holiday,Yes
4692,945,21.2,75,0.7,876,16.5,1.07,0,0,Summer,No Holiday,Yes
4693,1056,22.8,67,1.2,930,16.3,1.55,0,0,Summer,No Holiday,Yes
4694,1153,23.8,62,1.2,1282,16,1.91,0,0,Summer,No Holiday,Yes
4695,1292,24.6,57,1.8,1664,15.5,1.54,0,0,Summer,No Holiday,Yes
4696,1550,25,56,0.7,1723,15.6,1.27,0,0,Summer,No Holiday,Yes
4697,1934,24.6,57,1,1866,15.5,0.45,0,0,Summer,No Holiday,Yes
4698,2962,24,61,1.5,1935,16,0.26,0,0,Summer,No Holiday,Yes
4699,1856,23.6,63,0.6,1956,16.1,0.19,0,0,Summer,No Holiday,Yes
4700,1557,22.6,74,1.2,1594,17.7,0.01,0,0,Summer,No Holiday,Yes
4701,1807,22.2,72,1,1786,16.9,0,0,0,Summer,No Holiday,Yes
4702,1737,21.8,72,1,1952,16.5,0,0,0,Summer,No Holiday,Yes
4703,1295,21.6,68,0.8,2000,15.4,0,0,0,Summer,No Holiday,Yes
4704,986,21,70,0.9,2000,15.3,0,0,0,Summer,No Holiday,Yes
4705,717,20.6,65,1.2,2000,13.7,0,0,0,Summer,No Holiday,Yes
4706,403,20.1,67,1.1,2000,13.7,0,0.1,0,Summer,No Holiday,Yes
4707,154,18.8,93,1,419,17.6,0,5.4,0,Summer,No Holiday,Yes
4708,72,18,93,1.6,627,16.8,0,10.5,0,Summer,No Holiday,Yes
4709,161,17.4,86,1.1,1820,15,0,0.5,0,Summer,No Holiday,Yes
4710,609,17.2,83,1.3,2000,14.2,0.07,0,0,Summer,No Holiday,Yes
4711,1467,18.2,75,1.4,2000,13.6,0.56,0,0,Summer,No Holiday,Yes
4712,2328,18.7,71,1.1,1992,13.3,0.61,0,0,Summer,No Holiday,Yes
4713,1170,20.1,65,1.4,2000,13.3,0.93,0,0,Summer,No Holiday,Yes
4714,1004,22,56,1.5,1989,12.8,1.91,0,0,Summer,No Holiday,Yes
4715,1118,22.9,57,1.4,1918,13.9,2.24,0,0,Summer,No Holiday,Yes
4716,1193,24.4,50,1.6,2000,13.2,3.07,0,0,Summer,No Holiday,Yes
4717,1035,25.3,48,1.8,1935,13.4,3.42,0,0,Summer,No Holiday,Yes
4718,1027,26.4,43,2.1,1944,12.8,3.23,0,0,Summer,No Holiday,Yes
4719,1461,26.7,40,1.6,1995,11.9,2.42,0,0,Summer,No Holiday,Yes
4720,1726,26.5,45,1.6,2000,13.5,1.91,0,0,Summer,No Holiday,Yes
4721,2460,26.1,45,1.4,2000,13.2,1.26,0,0,Summer,No Holiday,Yes
4722,2891,25.9,44,1.5,2000,12.7,1.36,0,0,Summer,No Holiday,Yes
4723,2984,24.3,48,1.5,2000,12.5,0.59,0,0,Summer,No Holiday,Yes
4724,2441,22.6,51,1.3,2000,11.9,0.06,0,0,Summer,No Holiday,Yes
4725,2337,21.4,54,1.5,2000,11.6,0,0,0,Summer,No Holiday,Yes
4726,2155,20.4,54,1.4,2000,10.7,0,0,0,Summer,No Holiday,Yes
4727,1593,19.6,55,1.4,2000,10.3,0,0,0,Summer,No Holiday,Yes
4728,1217,19,57,1.6,2000,10.2,0,0,0,Summer,No Holiday,Yes
4729,1056,18.4,59,1.3,2000,10.2,0,0,0,Summer,No Holiday,Yes
4730,764,17.9,60,0.8,2000,10,0,0,0,Summer,No Holiday,Yes
4731,518,17.4,61,1.2,2000,9.7,0,0,0,Summer,No Holiday,Yes
4732,317,16.9,63,1,2000,9.8,0,0,0,Summer,No Holiday,Yes
4733,277,16.6,65,1.2,2000,9.9,0,0,0,Summer,No Holiday,Yes
4734,381,16.3,66,0.7,2000,9.9,0.05,0,0,Summer,No Holiday,Yes
4735,583,17,60,1.1,1993,9.1,0.47,0,0,Summer,No Holiday,Yes
4736,892,18.7,57,1,1956,9.9,1.05,0,0,Summer,No Holiday,Yes
4737,1144,20.4,54,1.5,2000,10.7,1.88,0,0,Summer,No Holiday,Yes
4738,1166,21.8,46,0.9,1927,9.6,2.46,0,0,Summer,No Holiday,Yes
4739,1330,23.4,46,1.6,1954,11.1,2.96,0,0,Summer,No Holiday,Yes
4740,1525,24.8,43,1.2,1943,11.3,3.27,0,0,Summer,No Holiday,Yes
4741,1704,26.2,37,1.2,1936,10.3,3.36,0,0,Summer,No Holiday,Yes
4742,1783,27.1,40,1.8,1779,12.3,3.26,0,0,Summer,No Holiday,Yes
4743,1861,27.8,41,1.6,1851,13.3,2.89,0,0,Summer,No Holiday,Yes
4744,1991,28.3,41,2.6,1852,13.7,2.58,0,0,Summer,No Holiday,Yes
4745,2383,28.4,43,2,1806,14.6,1.93,0,0,Summer,No Holiday,Yes
4746,2451,28,46,2.3,1833,15.2,1.23,0,0,Summer,No Holiday,Yes
4747,2475,27.2,48,1.4,1994,15.2,0.57,0,0,Summer,No Holiday,Yes
4748,2497,25,60,2.4,1773,16.6,0.1,0,0,Summer,No Holiday,Yes
4749,2435,23.7,64,1.7,1707,16.4,0,0,0,Summer,No Holiday,Yes
4750,1995,22.8,69,1.7,1656,16.8,0,0,0,Summer,No Holiday,Yes
4751,1615,22.1,73,1.6,1180,17,0,0,0,Summer,No Holiday,Yes
4752,1394,21.5,76,1.4,1015,17,0,0,0,Summer,No Holiday,Yes
4753,929,20.9,79,2,932,17.1,0,0,0,Summer,No Holiday,Yes
4754,755,20.5,76,1.1,994,16.1,0,0,0,Summer,No Holiday,Yes
4755,491,19.9,80,1.6,741,16.3,0,0,0,Summer,No Holiday,Yes
4756,304,19.4,82,0.9,531,16.2,0,0,0,Summer,No Holiday,Yes
4757,238,19,85,0.8,567,16.4,0,0,0,Summer,No Holiday,Yes
4758,324,18.9,83,0.3,576,15.9,0.05,0,0,Summer,No Holiday,Yes
4759,475,19.6,75,0.9,884,15,0.42,0,0,Summer,No Holiday,Yes
4760,715,21.1,70,0.3,766,15.4,0.9,0,0,Summer,No Holiday,Yes
4761,944,22.5,66,1.2,605,15.8,0.97,0,0,Summer,No Holiday,Yes
